uniprot_id	dataset	genomic_accession	species	strain	genomic_context	intergenic_distance	receptor_id	grp_identical_proteins	rep_sequence	receptor_family	r_start	r_end	r_strand	TPR_hmm_name	TPR_hmm_accession	TPR_hmm_coverage	TPR_hmm_evalue	HTH_hmm_name	HTH_hmm_accession	HTH_hmm_coverage	HTH_hmm_evalue	homologous_ref_receptor	blastp_evalue	perc_identity	perc_cover	propeptide_id	p_start	p_end	p_strand	p_RBS_bin	p_RBS_motif	p_RBS_spacer	Prediction	propeptide_score	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS_Position	qss_id	genetic_element	Phaster_prophage_prediction	prophage_region	taxid	lineage	class	order	family	genus
A0A060LST4	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(====> =>)	-4	AIC94316.1	Cluster 11136	True	subfam_01_Rap	1685548	1686630	+	3ulqA00-i1	-	95.3	1.1E-55									AIC94317.1	1686627	1686869	+				SP(Sec/SPI)	0.989728	0.989728	0.001614	0.007848	0.00081	CS pos: 26-27. SSA-AS. Pr: 0.5222	1075	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060M707	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(====> =>)	-4	AIC95874.1	Cluster 10384	True	subfam_01_Rap	3188796	3189890	+	3ulqA00-i1	-	95.6	4.1E-68					RapA_[B._subtilis]	1.44E-17	27.596	95.8	AIC95875.1	3189887	3190024	+				SP(Sec/SPI)	0.973403	0.973403	0.002525	0.02195	0.002123	CS pos: 27-28. SHS-AD. Pr: 0.7202	1079	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A060M7H6	Firmicutes	CP003923.1	Alkalihalobacillus lehensis	G1	(====> =>)	-4	AIC96024.1	Cluster 11006	True	subfam_01_Rap	3335688	3336773	+	3q15B00-i1	-	97.1	9.1E-71					RapA_[B._subtilis]	1.64E-21	26.611	94.4	AIC96025.1	3336770	3336889	+				SP(Sec/SPI)	0.987412	0.987412	0.001474	0.007792	0.003321	CS pos: 23-24. TQA-DS. Pr: 0.7967	1080	chromosome			1246626	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Alkalihalobacillus;s__Alkalihalobacillus lehensis;x__Alkalihalobacillus lehensis G1	Bacilli	Bacillales	Bacillaceae	Alkalihalobacillus
A0A0T6BSE8	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(<= <====)	5	ATH94459.1	Cluster 9555	True	subfam_01_Rap	3647011	3648120	-	3q15B00-i1	-	97.6	1.1E-101					RapA_[B._subtilis]	7.05E-90	41.223	97.9	ATH94458.1	3646718	3647005	-				SP(Sec/SPI)	0.886259	0.886259	0.004342	0.035572	0.073827	CS pos: 25-26. KFA-TP. Pr: 0.3829	2809	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A291KW88	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(<= <====)	-4	ATH95493.1	Cluster 9660	True	subfam_01_Rap	1992696	1993802	-	3q15B00-i1	-	97.6	1.6E-100					RapA_[B._subtilis]	7.07E-63	33.243	97.1	ATH93014.1	1992472	1992699	-				SP(Sec/SPI)	0.70621	0.70621	0.011734	0.26585	0.016206	CS pos: 29-30. GDA-EF. Pr: 0.4072	2808	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1C3SE68	Firmicutes	LT603683.1	Bacillus glycinifermentans		(<= <====)	-4	SCA85948.1	Cluster 9679	True	subfam_01_Rap	2059012	2060118	-	3q15B00-i1	-	97.6	1.3E-103					RapA_[B._subtilis]	7.92E-60	34.605	97.1	SCA85947.1	2058857	2059015	-				SP(Sec/SPI)	0.939184	0.939184	0.002098	0.050608	0.00811	CS pos: 25-26. THS-HD. Pr: 0.4435	7755	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1C3SHV4	Firmicutes	LT603683.1	Bacillus glycinifermentans		(<= <====)	-4	SCA87384.1	Cluster 9680	True	subfam_01_Rap	3437774	3438880	-	3q15B00-i1	-	97.4	5E-85					RapA_[B._subtilis]	2.01E-46	31.18	93.7	SCA87383.1	3437628	3437777	-				SP(Sec/SPI)	0.982816	0.982816	0.001194	0.015169	0.000821	CS pos: 24-25. AWA-SP. Pr: 0.9238	7757	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0T6BQE4	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(<= <====)	-4	ATH91455.1	Cluster 9659	True	subfam_01_Rap	305218	306324	-	3q15B00-i1	-	97.4	5E-103					RapA_[B._subtilis]	8.37E-55	29.737	97.6	smallORF48900	305096	305221	-	24	GGAGG	7	SP(Sec/SPI)	0.867991	0.867991	0.011938	0.025179	0.094891	CS pos: 25-26. EKA-IT. Pr: 0.3017	10871	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0T6BTL7	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(<= <====)	-11	ATH92229.1	Cluster 8101	True	subfam_01_Rap	1133725	1134855	-	3q15B00-i1	-	98.9	2.1E-121					RapA_[B._subtilis]	8.51E-145	54.787	99.5	ATH92228.1	1133487	1133735	-				SP(Sec/SPI)	0.83557	0.83557	0.007295	0.154118	0.003018	CS pos: 24-25. ALS-AK. Pr: 0.2832	2807	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A291KK33	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(====> =>)	2	ATH91563.1	Cluster 6974	True	subfam_01_Rap	451374	452528	+	3q15B00-i1	-	97.4	6.2E-91					RapA_[B._subtilis]	2.95E-71	34.794	98.4	smallORF48929	452531	452650	+	16	GGAG	7	SP(Sec/SPI)	0.765487	0.765487	0.002421	0.210531	0.021562	CS pos: 25-26. LVS-QQ. Pr: 0.1810	10872	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0J6EG35	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(====> =>)	0	ATH92908.1	Cluster 9320	True	subfam_01_Rap	1874924	1876036	+	3q15B00-i1	-	96	2.7E-88					RapA_[B._subtilis]	1.63E-44	31.649	97.9	smallORF48932	1876037	1876165	+	27	AGGAGG	7	SP(Sec/SPI)	0.960773	0.960773	0.009494	0.02415	0.005584	CS pos: 26-27. SEA-VS. Pr: 0.7790	10874	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0T6BPN4	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(====> =>)	-1	ATH94652.1	Cluster 9556	True	subfam_01_Rap	3881461	3882570	+	3q15B00-i1	-	96.6	1.8E-80					RapA_[B._subtilis]	2.88E-27	25.806	96.3	ATH94653.1	3882570	3882692	+				SP(Sec/SPI)	0.839158	0.839158	0.003647	0.139464	0.017731	CS pos: 29-30. ASG-SV. Pr: 0.2050	2810	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0T6BJL1	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(====> =>)	-4	ATH93812.1	Cluster 9754	True	subfam_01_Rap	2864408	2865511	+	3q15B00-i1	-	97.4	6.9E-95					RapA_[B._subtilis]	3.81E-51	31.622	97.1	smallORF48916	2865508	2865639	+	24	GGAGG	7	SP(Sec/SPI)	0.715909	0.715909	0.004729	0.239377	0.039986	CS pos: 30-31. AVS-QI. Pr: 0.2537	10875	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A1C3SAM2	Firmicutes	LT603683.1	Bacillus glycinifermentans		(====> =>)	-11	SCA84922.1	Cluster 8926	True	subfam_01_Rap	1134555	1135673	+	3q15B00-i1	-	99.2	8.9E-109					RapA_[B._subtilis]	5.58E-99	44.149	99.2	SCA84923.1	1135663	1135818	+				SP(Sec/SPI)	0.934977	0.934977	0.013074	0.039162	0.012787	CS pos: 32-33. LYA-DK. Pr: 0.3715	7753	chromosome			1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0J6EBB4	Firmicutes	CP023481.1	Bacillus glycinifermentans	KBN06P03352	(====> =>)	-11	ATH94556.1	Cluster 8714	False	subfam_01_Rap	3758212	3759333	+	3q15B00-i1	-	97.1	1.8E-92					RapA_[B._subtilis]	3.86E-73	35.829	98.7	smallORF48924	3759323	3759442	+	20	AGGAG	11	SP(Sec/SPI)	0.973209	0.973209	0.002264	0.021262	0.003265	CS pos: 26-27. VQA-DY. Pr: 0.9455	10877	chromosome	intact(100)	3714979-3768142	1664069	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus glycinifermentans	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0M5JM86	Firmicutes	CP012600.1	Bacillus gobiensis	FJAT-4402	(====> =>)	-4	ALC82889.1	Cluster 8588	True	subfam_01_Rap	3158893	3160017	+	3q15B00-i1	-	97.4	6E-69					RapA_[B._subtilis]	2.7E-24	23.81	93.6	smallORF26966	3160014	3160151	+	27	AGGAGG	7	SP(Sec/SPI)	0.871307	0.871307	0.003276	0.052295	0.073122	CS pos: 33-34. VIA-EN. Pr: 0.6726	9631	chromosome			1441095	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus gobiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0M5JM41	Firmicutes	CP012600.1	Bacillus gobiensis	FJAT-4402	(====> =>)	-11	ALC82577.1	Cluster 8869	True	subfam_01_Rap	2813382	2814500	+	3q15B00-i1	-	97.6	2.2E-108					RapA_[B._subtilis]	1.82E-77	39.295	97.1	smallORF26958	2814490	2814615	+	22	AGGAG	9	SP(Sec/SPI)	0.625953	0.625953	0.002978	0.036666	0.334402	CS pos: 29-30. SQL-FE. Pr: 0.1344	9629	chromosome			1441095	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus gobiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0M4FS88	Firmicutes	CP012600.1	Bacillus gobiensis	FJAT-4402	(====> =>)	-11	ALC82585.1	Cluster 8061	True	subfam_01_Rap	2822995	2824125	+	3q15B00-i1	-	99.2	1E-122					RapA_[B._subtilis]	7.77E-102	45.067	99.2	smallORF26956	2824115	2824258	+	22	AGGAG	9	SP(Sec/SPI)	0.850017	0.850017	0.003655	0.029947	0.116382	CS pos: 25-26. AYS-HQ. Pr: 0.2254	9630	chromosome			1441095	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus gobiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A0M3RAQ7	Firmicutes	CP012600.1	Bacillus gobiensis	FJAT-4402	(====> =>)	-11	ALC83582.1	Cluster 8062	True	subfam_01_Rap	4024200	4025330	+	3q15B00-i1	-	97.9	1.9E-104					RapA_[B._subtilis]	2.12E-126	49.867	98.4	smallORF26960	4025320	4025457	+	27	AGGAGG	9	SP(Sec/SPI)	0.537523	0.537523	0.001787	0.41655	0.04414	CS pos: 26-27. VSN-EK. Pr: 0.0911	9632	chromosome			1441095	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus gobiensis	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A8G1J9J6	Firmicutes	CP081199.1	Bacillus pumilus	EB130	(====> =>)	-11	QZD59428.1	Cluster 8912	True	subfam_01_Rap	3582282	3583400	+	3q15B00-i1	-	98.7	6.2E-120					RapA_[B._subtilis]	1.36E-105	45.308	98.7	QZD59429.1	3583390	3583566	+				SP(Sec/SPI)	0.680368	0.680368	0.001706	0.222184	0.095742	CS pos: 28-29. IET-KS. Pr: 0.0967	6292	chromosome			1408	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FF04	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(<= <====)	-4	ABV62821.1	Cluster 9855	True	subfam_01_Rap	2182883	2183983	-	3q15B00-i1	-	96.3	9.1E-79					RapA_[B._subtilis]	3.85E-31	25.683	96	smallORF2286	2182776	2182886	-	24	GGAGG	7	SP(Sec/SPI)	0.929789	0.929789	0.003652	0.045639	0.02092	CS pos: 25-26. LDA-ET. Pr: 0.3489	8540	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FIQ8	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(<= <====)	-11	ABV64125.1	Cluster 8339	True	subfam_01_Rap	3442000	3443127	-	3q15B00-i1	-	98.4	2.9E-99					RapA_[B._subtilis]	4.77E-96	42.133	98.4	ABV64124.1	3441765	3442010	-				SP(Sec/SPI)	0.689779	0.689779	0.020064	0.223867	0.066289	CS pos: 31-32. VNS-RN. Pr: 0.2459	778	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FIS5	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	16	ABV64142.1	Cluster 11002	True	subfam_01_Rap	3456318	3457403	+	3q15B00-i1	-	95.2	1.7E-72					RapA_[B._subtilis]	1.15E-28	30.182	71.4	smallORF2303	3457420	3457563	+	16	GGAG	6	SP(Sec/SPI)	0.643973	0.643973	0.004698	0.337107	0.014221	CS pos: 34-35. AQS-QD. Pr: 0.1487	8541	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FC49	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	-11	ABV61816.1	Cluster 8860	True	subfam_01_Rap	1208906	1210024	+	3q15B00-i1	-	98.7	1.2E-123					RapA_[B._subtilis]	2.37E-107	45.576	98.7	ABV61817.1	1210014	1210187	+				SP(Sec/SPI)	0.741087	0.741087	0.000975	0.185877	0.072061	CS pos: 20-21. STA-ET. Pr: 0.2807	775	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FC58	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	-11	ABV61825.1	Cluster 7851	True	subfam_01_Rap	1216208	1217341	+	3q15B00-i1	-	98.4	5.6E-105					RapA_[B._subtilis]	3.93E-114	46.684	98.9	ABV61826.1	1217331	1217468	+				SP(Sec/SPI)	0.936434	0.936434	0.004154	0.025642	0.03377	CS pos: 28-29. VTA-SH. Pr: 0.6763	776	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FCC6	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	-11	ABV61893.1	Cluster 7667	True	subfam_01_Rap	1275933	1277069	+	3q15B00-i1	-	99.2	9.7E-114					RapA_[B._subtilis]	1.26E-120	48.677	99.2	ABV61894.1	1277059	1277193	+				SP(Sec/SPI)	0.945088	0.945088	0.002926	0.047762	0.004224	CS pos: 25-26. ANA-DP. Pr: 0.8944	777	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FDL3	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	-11	ABV62330.1	Cluster 7852	True	subfam_01_Rap	1709376	1710509	+	3q15B00-i1	-	98.4	1E-102					RapA_[B._subtilis]	4.42E-111	46.419	98.9	smallORF2274	1710499	1710636	+	20	AGGAG	11	SP(Sec/SPI)	0.731967	0.731967	0.004863	0.045627	0.217542	CS pos: 25-26. AFT-QN. Pr: 0.2080	8539	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A8FCC6	Firmicutes	CP000813.4	Bacillus pumilus	SAFR-032	(====> =>)	-47	ABV61893.1	Cluster 7667	True	subfam_01_Rap	1275933	1277069	+	3q15B00-i1	-	99.2	9.7E-114					RapA_[B._subtilis]	1.26E-120	48.677	99.2	smallORF2253	1277023	1277193	+	16	GGAG	9	SP(Sec/SPI)	0.865689	0.865689	0.035031	0.018458	0.080822	CS pos: 37-38. ANA-DP. Pr: 0.8485	8538	chromosome			315750	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus;x__Bacillus pumilus SAFR-032	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A8U0I9E3	Firmicutes	CP096590.1	Bacillus rugosus	A78.1	(====> =>)	0	UPV79144.1	Cluster 10147	True	subfam_01_Rap	4061989	4063086	+	3q15B00-i1	-	97.4	3.8E-87					RapA_[B._subtilis]	1.23E-32	26.873	98.7	UPV79145.1	4063087	4063203	+				SP(Sec/SPI)	0.696168	0.696168	0.01669	0.082576	0.204567	CS pos: 27-28. THS-QE. Pr: 0.5943	7016	chromosome			2715209	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus rugosus	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A8U0I987	Firmicutes	CP096590.1	Bacillus rugosus	A78.1	(====> =>)	-11	UPV79890.1	Cluster 7512	True	subfam_01_Rap	789605	790747	+	3q15B00-i1	-	99.5	1.5E-154					RapA_[B._subtilis]	1.19E-113	48.148	98.9	UPV79891.1	790737	790916	+				SP(Sec/SPI)	0.842285	0.842285	0.008194	0.054128	0.095394	CS pos: 28-29. TNS-GG. Pr: 0.2281	7012	chromosome			2715209	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus rugosus	Bacilli	Bacillales	Bacillaceae	Bacillus
A0A8U0I6F7	Firmicutes	CP096590.1	Bacillus rugosus	A78.1	(====> =>)	-17	UPV78869.1	Cluster 7390	True	subfam_01_Rap	3757821	3758966	+	3ulqA00-i1	-	99	8.7E-140					RapA_[B._subtilis]	1.6E-96	41.425	99.5	UPV78870.1	3758950	3759069	+				SP(Sec/SPI)	0.843363	0.843363	0.001824	0.099684	0.055129	CS pos: 26-27. SNS-ST. Pr: 0.3560	7015	chromosome			2715209	c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus rugosus	Bacilli	Bacillales	Bacillaceae	Bacillus
