# 2023/03/12 - 10:28 | PDB: 10.23 | UniProt: 2023.02
PDB,CHAIN,SP_PRIMARY,SUNID,SCOP_ID
16gs,B,P09211,17549,d16gsb1
16gs,B,P09211,32843,d16gsb2
16pk,A,P07378,35454,d16pka_
16vp,A,P06492,42601,d16vpa_
170l,A,P00720,36968,d170la_
171l,A,P00720,36962,d171la_
172l,A,P00720,36905,d172la_
173l,A,P00720,36728,d173la_
174l,A,P00720,36956,d174la_
174l,B,P00720,36957,d174lb_
175l,A,P00720,36924,d175la_
175l,B,P00720,36925,d175lb_
176l,A,P00720,36942,d176la_
176l,B,P00720,36943,d176lb_
177l,A,P00720,36958,d177la_
178l,A,P00720,36961,d178la_
17gs,A,P09211,17524,d17gsa1
17gs,A,P09211,32818,d17gsa2
17gs,B,P09211,17525,d17gsb1
17gs,B,P09211,32819,d17gsb2
180l,A,P00720,36867,d180la_
180l,B,P00720,36868,d180lb_
181l,A,P00720,36718,d181la_
182l,A,P00720,36772,d182la_
183l,A,P00720,36809,d183la_
184l,A,P00720,36731,d184la_
185l,A,P00720,36722,d185la_
186l,A,P00720,36723,d186la_
187l,A,P00720,36797,d187la_
188l,A,P00720,36750,d188la_
189l,A,P00720,36960,d189la_
18gs,A,P09211,17528,d18gsa1
18gs,A,P09211,32822,d18gsa2
18gs,B,P09211,17529,d18gsb1
18gs,B,P09211,32823,d18gsb2
190l,A,P00720,36892,d190la_
1914,A,P16254,83028,d1914a1
1914,A,P16254,83029,d1914a2
191l,A,P00720,36826,d191la_
192l,A,P00720,36815,d192la_
193l,A,P00698,36247,d193la_
194l,A,P00698,36248,d194la_
195l,A,P00720,36841,d195la_
196l,A,P00720,36927,d196la_
197l,A,P00720,36911,d197la_
198l,A,P00720,36785,d198la_
199l,A,P00720,36855,d199la_
19gs,A,P09211,17546,d19gsa1
19gs,A,P09211,32840,d19gsa2
19gs,B,P09211,17547,d19gsb1
19gs,B,P09211,32841,d19gsb2
19hc,A,Q9RN68,19668,d19hca_
19hc,B,Q9RN68,19669,d19hcb_
1a00,A,P69905,15290,d1a00a_
1a00,B,P68871,15469,d1a00b_
1a00,C,P69905,15291,d1a00c_
1a00,D,P68871,15470,d1a00d_
1a01,A,P69905,15271,d1a01a_
1a01,B,P68871,15448,d1a01b_
1a01,C,P69905,15272,d1a01c_
1a01,D,P68871,15449,d1a01d_
1a02,F,P01100,45534,d1a02f_
1a02,J,P05412,45537,d1a02j_
1a02,N,Q13469,21923,d1a02n1
1a02,N,Q13469,22440,d1a02n2
1a03,A,P30801,17157,d1a03a_
1a03,B,P30801,17158,d1a03b_
1a04,A,P0AF28,16234,d1a04a1
1a04,A,P0AF28,31089,d1a04a2
1a04,B,P0AF28,16235,d1a04b1
1a04,B,P0AF28,31090,d1a04b2
1a05,A,Q56268,35059,d1a05a_
1a05,B,Q56268,35060,d1a05b_
1a06,A,Q63450,41634,d1a06a_
1a07,A,P12931,40443,d1a07a_
1a07,B,P12931,40444,d1a07b_
1a08,A,P12931,40447,d1a08a_
1a08,B,P12931,40448,d1a08b_
1a09,A,P12931,40438,d1a09a_
1a09,B,P12931,40439,d1a09b_
1a0a,A,P07270,17138,d1a0aa_
1a0a,B,P07270,17139,d1a0ab_
1a0b,A,P0AEC3,16631,d1a0ba_
1a0c,A,P19148,29529,d1a0ca_
1a0c,B,P19148,29530,d1a0cb_
1a0c,C,P19148,29531,d1a0cc_
1a0c,D,P19148,29532,d1a0cd_
1a0d,A,P54273,29533,d1a0da_
1a0d,B,P54273,29534,d1a0db_
1a0d,C,P54273,29535,d1a0dc_
1a0d,D,P54273,29536,d1a0dd_
1a0e,A,P45687,29537,d1a0ea_
1a0e,D,P45687,29538,d1a0ed_
1a0f,A,P0A9D2,17737,d1a0fa1
1a0f,A,P0A9D2,33031,d1a0fa2
1a0f,B,P0A9D2,17738,d1a0fb1
1a0f,B,P0A9D2,33032,d1a0fb2
1a0g,A,P19938,43276,d1a0ga_
1a0g,B,P19938,43277,d1a0gb_
1a0h,A,P00735,26229,d1a0h.1
1a0h,A,P00735,44655,d1a0ha1
1a0h,B,P00735,26229,d1a0h.1
1a0h,D,P00735,26230,d1a0h.2
1a0h,D,P00735,44656,d1a0hd1
1a0h,E,P00735,26230,d1a0h.2
1a0i,A,P00969,25363,d1a0ia1
1a0i,A,P00969,41577,d1a0ia2
1a0j,A,P35033,26002,d1a0ja_
1a0j,B,P35033,26003,d1a0jb_
1a0j,C,P35033,26004,d1a0jc_
1a0j,D,P35033,26005,d1a0jd_
1a0k,A,Q42449,40892,d1a0ka_
1a0l,A,P20231,26286,d1a0la_
1a0l,B,P20231,26287,d1a0lb_
1a0l,C,P20231,26288,d1a0lc_
1a0l,D,P20231,26289,d1a0ld_
1a0n,B,P06241,24469,d1a0nb_
1a0o,A,P0AE67,31071,d1a0oa_
1a0o,B,P07363,39390,d1a0ob_
1a0o,C,P0AE67,31072,d1a0oc_
1a0o,D,P07363,39391,d1a0od_
1a0o,E,P0AE67,31073,d1a0oe_
1a0o,F,P07363,39392,d1a0of_
1a0o,G,P0AE67,31074,d1a0og_
1a0o,H,P07363,39393,d1a0oh_
1a0p,A,P0A8P8,18105,d1a0pa1
1a0p,A,P0A8P8,42165,d1a0pa2
1a0q,H,P01869,20287,d1a0qh1
1a0q,H,P01869,21279,d1a0qh2
1a0q,L,P01837,20286,d1a0ql1
1a0q,L,P01837,21278,d1a0ql2
1a0r,B,P62871,27658,d1a0rb_
1a0r,G,P02698,19639,d1a0rg_
1a0r,P,P19632,33054,d1a0rp_
1a0s,P,P22340,43797,d1a0sp_
1a0s,Q,P22340,43798,d1a0sq_
1a0s,R,P22340,43799,d1a0sr_
1a0t,P,P22340,43794,d1a0tp_
1a0t,Q,P22340,43795,d1a0tq_
1a0t,R,P22340,43796,d1a0tr_
1a0u,A,P69905,15322,d1a0ua_
1a0u,B,P68871,15506,d1a0ub_
1a0u,C,P69905,15323,d1a0uc_
1a0u,D,P68871,15507,d1a0ud_
1a0z,A,P69905,15302,d1a0za_
1a0z,B,P68871,15481,d1a0zb_
1a0z,C,P69905,15303,d1a0zc_
1a0z,D,P68871,15482,d1a0zd_
1a11,A,P25110,46262,d1a11a_
1a12,A,P18754,27663,d1a12a_
1a12,B,P18754,27664,d1a12b_
1a12,C,P18754,27665,d1a12c_
1a14,H,P01749,20061,d1a14h_
1a14,L,P01645,20060,d1a14l_
1a14,N,P03472,27580,d1a14n_
1a15,A,P48061,37451,d1a15a_
1a15,B,P48061,37452,d1a15b_
1a16,A,P15034,33548,d1a16a1
1a16,A,P15034,41165,d1a16a2
1a17,A,P53041,19206,d1a17a_
1a18,A,P04117,27192,d1a18a_
1a19,A,P11540,30831,d1a19a_
1a19,B,P11540,30832,d1a19b_
1a1a,A,P12931,40449,d1a1aa_
1a1a,B,P12931,40450,d1a1ab_
1a1b,A,P12931,40441,d1a1ba_
1a1b,B,P12931,40442,d1a1bb_
1a1c,A,P12931,40451,d1a1ca_
1a1c,B,P12931,40452,d1a1cb_
1a1d,A,P20436,25394,d1a1da_
1a1e,A,P12931,40445,d1a1ea_
1a1e,B,P12931,40446,d1a1eb_
1a1f,A,P08046,45019,d1a1fa1
1a1f,A,P08046,45020,d1a1fa2
1a1f,A,P08046,45021,d1a1fa3
1a1g,A,P08046,45010,d1a1ga1
1a1g,A,P08046,45011,d1a1ga2
1a1g,A,P08046,45012,d1a1ga3
1a1h,A,P08046,45004,d1a1ha1
1a1h,A,P08046,45005,d1a1ha2
1a1h,A,P08046,45006,d1a1ha3
1a1i,A,P08046,44998,d1a1ia1
1a1i,A,P08046,44999,d1a1ia2
1a1i,A,P08046,45000,d1a1ia3
1a1j,A,P08046,45016,d1a1ja1
1a1j,A,P08046,45017,d1a1ja2
1a1j,A,P08046,45018,d1a1ja3
1a1k,A,P08046,45007,d1a1ka1
1a1k,A,P08046,45008,d1a1ka2
1a1k,A,P08046,45009,d1a1ka3
1a1l,A,P08046,45022,d1a1la1
1a1l,A,P08046,45023,d1a1la2
1a1l,A,P08046,45024,d1a1la3
1a1m,A,P01889,20753,d1a1ma1
1a1m,A,P01889,38266,d1a1ma2
1a1m,B,P61769,20754,d1a1mb_
1a1n,A,P01889,20755,d1a1na1
1a1n,A,P01889,38267,d1a1na2
1a1n,B,P61769,20756,d1a1nb_
1a1o,A,P01889,20751,d1a1oa1
1a1o,A,P01889,38265,d1a1oa2
1a1o,B,P61769,20752,d1a1ob_
1a1q,A,P26663,26414,d1a1qa_
1a1q,B,P26663,26415,d1a1qb_
1a1q,C,P26663,26416,d1a1qc_
1a1r,A,P27958,26406,d1a1r.1
1a1r,B,P27958,26407,d1a1r.2
1a1r,C,O39914,26406,d1a1r.1
1a1r,D,O39914,26407,d1a1r.2
1a1s,A,Q51742,35258,d1a1sa1
1a1s,A,Q51742,35259,d1a1sa2
1a1t,A,Q75677,45165,d1a1ta_
1a1u,A,P04637,17863,d1a1ua_
1a1u,C,P04637,17864,d1a1uc_
1a1v,A,P27958,32467,d1a1va1
1a1v,A,P27958,32468,d1a1va2
1a1w,A,Q13158,18425,d1a1wa_
1a1x,A,P56278,27514,d1a1xa_
1a1z,A,Q13158,18427,d1a1za_
1a21,A,P24055,21967,d1a21a1
1a21,A,P24055,21968,d1a21a2
1a21,B,P24055,21969,d1a21b1
1a21,B,P24055,21970,d1a21b2
1a22,A,P01241,16833,d1a22a_
1a22,B,P10912,22003,d1a22b1
1a22,B,P10912,22004,d1a22b2
1a23,A,P0AEG4,90319,d1a23a_
1a24,A,P0AEG4,90320,d1a24a_
1a25,A,P68403,23197,d1a25a_
1a25,B,P68403,23198,d1a25b_
1a26,A,P26446,17412,d1a26a1
1a26,A,P26446,42274,d1a26a2
1a27,A,P14061,29839,d1a27a_
1a28,A,P06401,19290,d1a28a_
1a28,B,P06401,19291,d1a28b_
1a29,A,P62157,17276,d1a29a_
1a2a,A,P14421,19540,d1a2aa_
1a2a,B,P14421,19541,d1a2ab_
1a2a,C,P14421,19542,d1a2ac_
1a2a,D,P14421,19543,d1a2ad_
1a2a,E,P14421,19544,d1a2ae_
1a2a,F,P14421,19545,d1a2af_
1a2a,G,P14421,19546,d1a2ag_
1a2a,H,P14421,19547,d1a2ah_
1a2b,A,P61586,32049,d1a2ba_
1a2c,H,P00734,26123,d1a2c.1
1a2c,L,P00734,26123,d1a2c.1
1a2d,A,P04117,27193,d1a2da_
1a2d,B,P04117,27194,d1a2db_
1a2f,A,P00431,18619,d1a2fa_
1a2g,A,P00431,18620,d1a2ga_
1a2i,A,P00131,19657,d1a2ia_
1a2j,A,P0AEG4,90321,d1a2ja_
1a2l,A,P0AEG4,90322,d1a2la_
1a2l,B,P0AEG4,90323,d1a2lb_
1a2m,A,P0AEG4,90324,d1a2ma_
1a2m,B,P0AEG4,90325,d1a2mb_
1a2n,A,P0A749,39575,d1a2na_
1a2o,A,P04042,31120,d1a2oa1
1a2o,A,P04042,32479,d1a2oa2
1a2o,B,P04042,31121,d1a2ob1
1a2o,B,P04042,32480,d1a2ob2
1a2p,A,P00648,36140,d1a2pa_
1a2p,B,P00648,36141,d1a2pb_
1a2p,C,P00648,36142,d1a2pc_
1a2q,A,P00782,32512,d1a2qa_
1a2s,A,Q09099,15800,d1a2sa_
1a2t,A,P00644,24839,d1a2ta_
1a2u,A,P00644,24843,d1a2ua_
1a2v,A,P12807,24416,d1a2va1
1a2v,A,P12807,38059,d1a2va2
1a2v,A,P12807,38060,d1a2va3
1a2v,B,P12807,24417,d1a2vb1
1a2v,B,P12807,38061,d1a2vb2
1a2v,B,P12807,38062,d1a2vb3
1a2v,C,P12807,24418,d1a2vc1
1a2v,C,P12807,38063,d1a2vc2
1a2v,C,P12807,38064,d1a2vc3
1a2v,D,P12807,24419,d1a2vd1
1a2v,D,P12807,38065,d1a2vd2
1a2v,D,P12807,38066,d1a2vd3
1a2v,E,P12807,24420,d1a2ve1
1a2v,E,P12807,38067,d1a2ve2
1a2v,E,P12807,38068,d1a2ve3
1a2v,F,P12807,24421,d1a2vf1
1a2v,F,P12807,38069,d1a2vf2
1a2v,F,P12807,38070,d1a2vf3
1a2w,A,P61823,37248,d1a2wa_
1a2w,B,P61823,37249,d1a2wb_
1a2x,A,P02586,17251,d1a2xa_
1a2x,B,P02643,46179,d1a2xb_
1a2y,A,P01635,19926,d1a2ya_
1a2y,B,P01820,19927,d1a2yb_
1a2y,C,P00698,36305,d1a2yc_
1a2z,A,O07883,33794,d1a2za_
1a2z,B,O07883,33795,d1a2zb_
1a2z,C,O07883,33796,d1a2zc_
1a2z,D,O07883,33797,d1a2zd_
1a30,A,P04585,26553,d1a30a_
1a30,B,P04585,26554,d1a30b_
1a31,A,P11387,42170,d1a31a1
1a31,A,P11387,43263,d1a31a2
1a32,A,P05766,16384,d1a32a_
1a33,A,Q27450,27496,d1a33a_
1a34,A,P17574,23286,d1a34a_
1a35,A,P11387,42171,d1a35a1
1a35,A,P11387,43264,d1a35a2
1a36,A,P11387,15715,d1a36a1
1a36,A,P11387,42173,d1a36a2
1a36,A,P11387,43266,d1a36a3
1a37,A,P63103,19198,d1a37a_
1a37,B,P63103,19199,d1a37b_
1a38,A,P63103,19200,d1a38a_
1a38,B,P63103,19201,d1a38b_
1a39,A,P56680,24305,d1a39a_
1a3a,A,P00550,40917,d1a3aa_
1a3a,B,P00550,40918,d1a3ab_
1a3a,C,P00550,40919,d1a3ac_
1a3a,D,P00550,40920,d1a3ad_
1a3b,H,P00734,26084,d1a3b.1
1a3b,L,P00734,26084,d1a3b.1
1a3c,A,P39765,34095,d1a3ca_
1a3d,A,P15445,19517,d1a3da_
1a3e,H,P00734,26086,d1a3e.1
1a3e,L,P00734,26086,d1a3e.1
1a3f,A,P15445,19521,d1a3fa_
1a3f,B,P15445,19522,d1a3fb_
1a3f,C,P15445,19523,d1a3fc_
1a3g,A,P0AB80,43286,d1a3ga_
1a3g,B,P0AB80,43287,d1a3gb_
1a3g,C,P0AB80,43288,d1a3gc_
1a3h,A,O85465,28819,d1a3ha_
1a3k,A,P17931,24218,d1a3ka_
1a3l,H,P01869,20241,d1a3lh1
1a3l,H,P01869,21253,d1a3lh2
1a3l,L,P01837,20240,d1a3ll1
1a3l,L,P01837,21252,d1a3ll2
1a3n,A,P69905,15247,d1a3na_
1a3n,B,P68871,15430,d1a3nb_
1a3n,C,P69905,15248,d1a3nc_
1a3n,D,P68871,15431,d1a3nd_
1a3o,A,P69905,15274,d1a3oa_
1a3o,B,P68871,15453,d1a3ob_
1a3o,C,P69905,15275,d1a3oc_
1a3o,D,P68871,15454,d1a3od_
1a3p,A,P01132,44284,d1a3pa_
1a3q,A,Q00653,21932,d1a3qa1
1a3q,A,Q00653,22447,d1a3qa2
1a3q,B,Q00653,21933,d1a3qb1
1a3q,B,Q00653,22448,d1a3qb2
1a3r,H,Q505N9,19781,d1a3rh1
1a3r,H,Q505N9,20891,d1a3rh2
1a3r,L,Q52L64,19780,d1a3rl1
1a3r,L,Q52L64,20890,d1a3rl2
1a3s,A,P63279,38335,d1a3sa_
1a3t,A,P00644,24852,d1a3ta_
1a3u,A,P00644,24848,d1a3ua_
1a3v,A,P00644,24861,d1a3va_
1a3w,A,P00549,27060,d1a3wa1
1a3w,A,P00549,29288,d1a3wa2
1a3w,A,P00549,33142,d1a3wa3
1a3w,B,P00549,27061,d1a3wb1
1a3w,B,P00549,29289,d1a3wb2
1a3w,B,P00549,33143,d1a3wb3
1a3x,A,P00549,27062,d1a3xa1
1a3x,A,P00549,29290,d1a3xa2
1a3x,A,P00549,33144,d1a3xa3
1a3x,B,P00549,27063,d1a3xb1
1a3x,B,P00549,29291,d1a3xb2
1a3x,B,P00549,33145,d1a3xb3
1a3y,A,P81245,27110,d1a3ya_
1a3y,B,P81245,27111,d1a3yb_
1a3z,A,P0C918,23019,d1a3za_
1a40,A,P0AG82,35767,d1a40a_
1a41,A,P68698,42174,d1a41a_
1a42,A,P00918,27951,d1a42a_
1a43,A,P12497,16955,d1a43a_
1a44,A,P13696,23704,d1a44a_
1a45,A,P23005,23602,d1a45a1
1a45,A,P23005,23603,d1a45a2
1a46,H,P00734,26108,d1a46.1
1a46,L,P00734,26108,d1a46.1
1a47,A,P26827,21853,d1a47a1
1a47,A,P26827,22522,d1a47a2
1a47,A,P26827,27760,d1a47a3
1a47,A,P26827,28747,d1a47a4
1a48,A,P27616,41590,d1a48a_
1a49,A,P11974,27026,d1a49a1
1a49,A,P11974,29255,d1a49a2
1a49,A,P11974,33109,d1a49a3
1a49,B,P11974,27027,d1a49b1
1a49,B,P11974,29256,d1a49b2
1a49,B,P11974,33110,d1a49b3
1a49,C,P11974,27028,d1a49c1
1a49,C,P11974,29257,d1a49c2
1a49,C,P11974,33111,d1a49c3
1a49,D,P11974,27029,d1a49d1
1a49,D,P11974,29258,d1a49d2
1a49,D,P11974,33112,d1a49d3
1a49,E,P11974,27030,d1a49e1
1a49,E,P11974,29259,d1a49e2
1a49,E,P11974,33113,d1a49e3
1a49,F,P11974,27031,d1a49f1
1a49,F,P11974,29260,d1a49f2
1a49,F,P11974,33114,d1a49f3
1a49,G,P11974,27032,d1a49g1
1a49,G,P11974,29261,d1a49g2
1a49,G,P11974,33115,d1a49g3
1a49,H,P11974,27033,d1a49h1
1a49,H,P11974,29262,d1a49h2
1a49,H,P11974,33116,d1a49h3
1a4a,A,P00280,22907,d1a4aa_
1a4a,B,P00280,22908,d1a4ab_
1a4b,A,P00280,22909,d1a4ba_
1a4b,B,P00280,22910,d1a4bb_
1a4c,A,P00280,22913,d1a4ca_
1a4c,B,P00280,22914,d1a4cb_
1a4c,C,P00280,22915,d1a4cc_
1a4c,D,P00280,22916,d1a4cd_
1a4e,A,P15202,42806,d1a4ea_
1a4e,B,P15202,42807,d1a4eb_
1a4e,C,P15202,42808,d1a4ec_
1a4e,D,P15202,42809,d1a4ed_
1a4f,A,P01990,15394,d1a4fa_
1a4f,B,P02118,15573,d1a4fb_
1a4g,A,P27907,27600,d1a4ga_
1a4g,B,P27907,27601,d1a4gb_
1a4h,A,P02829,41099,d1a4ha_
1a4i,A,P11586,30278,d1a4ia1
1a4i,A,P11586,33926,d1a4ia2
1a4i,B,P11586,30279,d1a4ib1
1a4i,B,P11586,33927,d1a4ib2
1a4j,A,P01834,20232,d1a4ja1
1a4j,A,P01834,21244,d1a4ja2
1a4j,L,P01834,20230,d1a4jl1
1a4j,L,P01834,21242,d1a4jl2
1a4k,A,P01834,20236,d1a4ka1
1a4k,A,P01834,21248,d1a4ka2
1a4k,L,P01834,20234,d1a4kl1
1a4k,L,P01834,21246,d1a4kl2
1a4l,A,P03958,29023,d1a4la_
1a4l,B,P03958,29024,d1a4lb_
1a4l,C,P03958,29025,d1a4lc_
1a4l,D,P03958,29026,d1a4ld_
1a4m,A,P03958,29014,d1a4ma_
1a4m,B,P03958,29015,d1a4mb_
1a4m,C,P03958,29016,d1a4mc_
1a4m,D,P03958,29017,d1a4md_
1a4o,A,P63103,19194,d1a4oa_
1a4o,B,P63103,19195,d1a4ob_
1a4o,C,P63103,19196,d1a4oc_
1a4o,D,P63103,19197,d1a4od_
1a4p,A,P60903,17176,d1a4pa_
1a4p,B,P60903,17177,d1a4pb_
1a4q,A,P27907,27595,d1a4qa_
1a4q,B,P27907,27596,d1a4qb_
1a4r,A,P60953,32063,d1a4ra_
1a4r,B,P60953,32064,d1a4rb_
1a4s,A,P56533,35361,d1a4sa_
1a4s,B,P56533,35362,d1a4sb_
1a4s,C,P56533,35363,d1a4sc_
1a4s,D,P56533,35364,d1a4sd_
1a4t,B,P04891,46130,d1a4tb_
1a4u,A,P10807,29878,d1a4ua_
1a4u,B,P10807,29879,d1a4ub_
1a4v,A,P00709,36599,d1a4va_
1a4w,H,P00734,26083,d1a4w.1
1a4w,L,P00734,26083,d1a4w.1
1a4x,A,P39765,34096,d1a4xa_
1a4x,B,P39765,34097,d1a4xb_
1a4y,A,P13489,30852,d1a4ya_
1a4y,B,P03950,37296,d1a4yb_
1a4y,D,P13489,30853,d1a4yd_
1a4y,E,P03950,37297,d1a4ye_
1a4z,A,P20000,35345,d1a4za_
1a4z,B,P20000,35346,d1a4zb_
1a4z,C,P20000,35347,d1a4zc_
1a4z,D,P20000,35348,d1a4zd_
1a50,A,P00929,28580,d1a50a_
1a50,B,P0A2K1,35280,d1a50b_
1a52,A,P03372,19296,d1a52a_
1a52,B,P03372,19297,d1a52b_
1a53,A,Q06121,28564,d1a53a_
1a54,A,P0AG82,35763,d1a54a_
1a55,A,P0AG82,35772,d1a55a_
1a56,A,P95339,15832,d1a56a_
1a57,A,P02693,27181,d1a57a_
1a58,A,Q27450,27495,d1a58a_
1a59,A,O34002,18902,d1a59a_
1a5a,A,P00929,28576,d1a5aa_
1a5a,B,P0A2K1,35276,d1a5ab_
1a5b,A,P00929,28575,d1a5ba_
1a5b,B,P0A2K1,35275,d1a5bb_
1a5c,A,P14223,29148,d1a5ca_
1a5c,B,P14223,29149,d1a5cb_
1a5d,A,P02528,23614,d1a5da1
1a5d,A,P02528,23615,d1a5da2
1a5d,B,P02528,23616,d1a5db1
1a5d,B,P02528,23617,d1a5db2
1a5e,A,P42771,19169,d1a5ea_
1a5g,H,P00734,26112,d1a5g.1
1a5g,L,P00734,26112,d1a5g.1
1a5h,A,P00750,26327,d1a5h.1
1a5h,B,P00750,26328,d1a5h.2
1a5h,C,P00750,26327,d1a5h.1
1a5h,D,P00750,26328,d1a5h.2
1a5i,A,P98119,26331,d1a5ia_
1a5j,A,Q03237,16043,d1a5ja1
1a5j,A,Q03237,16044,d1a5ja2
1a5k,A,P18316,37343,d1a5ka_
1a5k,B,P18315,28336,d1a5kb_
1a5k,C,P18314,28425,d1a5kc1
1a5k,C,P18314,29047,d1a5kc2
1a5l,A,P18316,37344,d1a5la_
1a5l,B,P18315,28337,d1a5lb_
1a5l,C,P18314,28426,d1a5lc1
1a5l,C,P18314,29048,d1a5lc2
1a5m,A,P18316,37338,d1a5ma_
1a5m,B,P18315,28331,d1a5mb_
1a5m,C,P18314,28423,d1a5mc1
1a5m,C,P18314,29045,d1a5mc2
1a5n,A,P18316,37345,d1a5na_
1a5n,B,P18315,28338,d1a5nb_
1a5n,C,P18314,28427,d1a5nc1
1a5n,C,P18314,29049,d1a5nc2
1a5o,A,P18316,37351,d1a5oa_
1a5o,B,P18315,28344,d1a5ob_
1a5o,C,P18314,28430,d1a5oc1
1a5o,C,P18314,29052,d1a5oc2
1a5p,A,P61823,37201,d1a5pa_
1a5q,A,P61823,37258,d1a5qa_
1a5r,A,P63165,37597,d1a5ra_
1a5s,A,P00929,28581,d1a5sa_
1a5s,B,P0A2K1,35281,d1a5sb_
1a5t,A,P28631,18450,d1a5ta1
1a5t,A,P28631,32423,d1a5ta2
1a5u,A,P11974,27034,d1a5ua1
1a5u,A,P11974,29263,d1a5ua2
1a5u,A,P11974,33117,d1a5ua3
